AL,Black Voters Matter - Alabama,https://blackvotersmatterfund.org/alabama/,Emerge Alabama,https://al.emergeamerica.org/,Faith in Action Alabama,https://www.faithinactionalabama.org/
AK,Alaska Grassroots Alliance,https://populardemocracy.org/our-partners/alaska-grassroots-alliance,Alaskans Take a Stand,https://www.facebook.com/AKstand,Native Peoples Action,https://nativepeoplesaction.org/
AZ,Emerge Arizona,https://az.emergeamerica.org/,Poder in Action,https://www.poderinaction.org/,LUCHA,https://luchaaz.org/
AR,Emerge Arkansas,https://ar.emergeamerica.org/,Arkansas Public Policy Panel,http://arpanel.org/,Arkansas United Community Coalition (AUCC),https://arkansasunited.org/
CA,Advancement Project,https://www.advancementprojectca.org/,Asian Americans Advancing Justice - Los Angeles,https://www.advancingjustice-la.org/,Power California,https://powercalifornia.org/
CO,New Era Colorado,https://neweracolorado.org/,Emerge Colorado,http://co.emergeamerica.org/,Together Colorado,https://www.togethercolorado.org/
CT,Emerge Connecticut,https://ct.emergeamerica.org/,CAIR - Connecticut ,http://www.cair-ct.com/,CT Students for a Dream,http://www.ct4adream.org/
DE,Delaware Alliance for Community Advancement,https://populardemocracy.org/about-us/our-partners/delaware-alliance-community-advancement,Network Delaware,https://thenetworkde.org/
FL,Emgage-Florida,https://emgageusa.org/chapters-and-affiliates/,New Florida Majority,https://newfloridamajority.org/,Black Voters Matter - Florida,https://www.blackvotersmatterfund.org/
GA,Asian Americans Advancing Justice - Atlanta,http://advancingjustice-atlanta.org/,New Georgia Project,https://newgeorgiaproject.org/,Black Voters Matter - Georgia,https://www.blackvotersmatterfund.org/,CAIR - Georgia,http://www.cairgeorgia.com/,NDWA - Atlanta Chapter,https://www.domesticworkers.org/national-affiliates#,NDWA - Atlanta Chapter,https://www.domesticworkers.org/national-affiliates#
HI,FACE Hawaii,http://facehawaii.org/,Hawai'i Alliance for Progressive Action,https://www.hapahi.org/
ID,Reclaim Idaho,https://www.reclaimidaho.org/,United Vision for Idaho,https://uvidaho.org/
IL,Asian Americans Advancing Justice - Chicago,https://www.advancingjustice-chicago.org/,Chicago Votes,https://chicagovotes.com/,CAIR - Chicago,http://www.cairchicago.org/
IN,Faith in Indiana,https://faithinindiana.org/,Hoosier Action,https://www.hoosieraction.org/,Spread the Vote Indiana,https://www.spreadthevote.org/indiana
IA,Emerge Iowa,https://ia.emergeamerica.org/,Iowa Student Action,https://www.facebook.com/IowaStudentAction/,Iowa Citizens for Community Improvement & Action Fund,http://iowacci.org/
KS,Loud Light,https://www.loudlight.org/,CAIR - Kansas,http://www.cairkansas.org/,Rural Organizing,https://ruralorganizing.org/
KY,Emerge Kentucky,http://ky.emergeamerica.org/,Kentuckians for the Commonwealth,http://kftc.org/
LA,Emerge Louisiana,http://la.emergeamerica.org/,The Micah Project,https://www.facebook.com/MicahPICO/,Louisiana Progress,http://www.louisianaprogress.org/
ME,Emerge Maine,http://me.emergeamerica.org/,Maine People's Alliance,https://www.mainepeoplesalliance.org/
MD,Emerge Maryland,http://md.emergeamerica.org/,CASA de Maryland,http://www.casademaryland.org/,Maryland Working Families Party,http://workingfamilies.org/states/maryland/
MA,Emerge Massachusetts,http://ma.emergeamerica.org/,CAIR - Massachusetts,http://www.cairma.org/,Community Labor United,http://www.massclu.org/
